"","o__Acidaminococcales","o__Actinomycetales","o__Bacillales","o__Bacteroidales","o__Bifidobacteriales","o__Brachyspirales","o__Burkholderiales","o__Campylobacterales","o__Candidatus_Gastranaerophilales","o__Clostridiales","o__Coriobacteriales","o__Corynebacteriales","o__Desulfovibrionales","o__Eggerthellales","o__Enterobacterales","o__Erysipelotrichales","o__Firmicutes_unclassified","o__Fusobacteriales","o__Lactobacillales","o__Methanobacteriales","o__Methanomassiliicoccales","o__Micrococcales","o__Pasteurellales","o__Propionibacteriales","o__Proteobacteria_unclassified","o__Pseudomonadales","o__Selenomonadales","o__Synergistales","o__Tissierellales","o__Veillonellales","o__Verrucomicrobiales","o__Victivallales"
"64-rP",0,0,0,17.23389,0.2253,0,0.12619,0,0,64.82016,0,0,0.24778,0.43733,12.38585,0.18445,0.66531,0,0,0.14079,0,0,0,0,0.98212,0,0,0,0,0.03317,2.51767,0
"64-tB",0,0,0,21.27275,0.92444,0,0.19462,0,0,53.16805,0,0,0.13008,0.64482,12.14344,0.22921,0.56663,0,0.09482,0.129,0,0,0,0,1.19767,0,0,0,0,1.67486,7.62962,0
"64-tP",0,0,0,16.32881,0.19882,0,0.08244,0,0,66.66923,0,0,0.00395,0.06945,14.68562,0.0103,0.15357,0,0,0.10866,0,0,0,0,0.69333,0,0,0,0,0.11552,0.88031,0
"66-rB",0.24674,0,0,49.27262,0,0,0,0,0,12.85485,0.80199,0,0,0.21353,0,0.02172,1.01053,0,0.16082,1.04833,0,0,0,0,0,0,0,0,0,0,34.36886,0
"66-rP",0,0,0,65.99915,0,0,0,0,0,16.78436,1.41683,0,0,0.00942,0,0.15228,0.99695,0,0.0727,1.32522,0,0,0,0.01212,0,0,0,0,0,0,13.23096,0
"66-tB",0.01055,0,0,67.62149,0,0,0,0,0,18.92891,1.14431,0,0.0081,0.06512,0,0.03719,0.40033,0,0.00311,2.77918,0,0,0,0,0,0,0,0,0,0,9.00171,0
"66-tP",0,0,0,69.68622,0,0,0,0,0,15.17498,1.21399,0,0.03015,0.01739,0,0.01241,0.74098,0,0,0.74237,0,0,0,0,0,0,0,0,0,0,12.38151,0
"68-rB",0,0,0,65.70097,0,0,0.03131,0,0,32.44654,0,0,0,0.45219,0,0.16185,0.30506,0,0.09061,0.81146,0,0,0,0,0,0,0,0,0,0,0,0
"68-rP",0,0,0,63.81659,0,0,0.56429,0,0,32.12318,0,0,0,0.52077,0,0.01974,0.29962,0,1.16228,1.15241,0,0,0,0,0.00349,0,0,0,0,0.33486,0.00278,0
"68-tB",0,0,0,67.45448,0,0,0.6213,0,0,28.62294,0,0,0,0.69264,0,0.09989,0.40502,0,1.21897,0.60864,0,0,0,0,0.0119,0,0,0,0,0,0.26421,0
"68-tP",0,0,0,70.2812,0,0,0.81676,0,0,22.14256,0,0,0,0.40936,0,0.21999,0.36152,0,4.66602,0.92796,0,0,0,0,0.01153,0,0,0,0,0,0.1631,0
"7-rB",0,0,0,55.39497,1.1224,0,2.66527,0,0,34.87996,2.70198,0,0,0.6135,0.05005,0.29441,0.02379,0.02455,0.64703,0,0,0,0,0,0.89459,0,0,0,0,0.68751,0,0
"7-rP",0,0,0,28.46334,2.093,0,1.96502,0,0,55.9341,3.28373,0,0,0.18526,0.24157,0.17745,0.77162,0,4.23338,0,0,0,0,0,2.57848,0,0,0,0,0.07305,0,0
"7-tB",0,0,0,51.09735,0.46761,0,1.89556,0,0,44.67375,0.49946,0,0,0,0,0,0,0,0.35732,0,0,0,0,0,0.90677,0,0,0,0,0.1022,0,0
"7-tP",0,0,0,42.24533,2.73086,0,2.05388,0,0,43.19686,3.88685,0,0,0.36619,0.01932,0.4055,1.47204,0,1.44892,0,0,0,0,0,2.09843,0,0,0,0,0.07582,0,0
"70-rB",1.35827,0,0,49.35821,1.70573,0,0.26194,0,0,33.4352,0,0,0.1801,0.27801,0,0.07078,0.52805,0,0.01961,0.08422,0,0,0,0,1.66493,0,0,0,0,0.85041,10.20455,0
"70-rP",1.48543,0,0,57.33684,0.95417,0,0.19812,0,0,29.26557,0,0,0.08776,0.11257,0,0.09671,0.21972,0,0,0,0,0,0,0,1.52894,0,0,0,0,0.28199,8.43216,0
"70-tB",1.37715,0,0,40.39915,2.07513,0,0.10848,0,0,43.80459,0,0,0.07359,0.52313,0,0.01744,1.04374,0,0.07794,0.26679,0,0,0,0,0.93489,0,0,0,0,0.21289,9.08508,0
"70-tP",1.59852,0,0,48.6866,0.99632,0,0.13122,0,0,38.16785,0,0,0.10303,0.26463,0,0.02266,0.46496,0,0,0.18634,0,0,0,0,1.36031,0,0,0,0,0.25646,7.7611,0
"71-rB",1.38316,0,0,84.69897,0,0,0,0,0,12.73571,0.42744,0,0.10938,0.15732,0,0.48803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71-rP",1.26039,0,0,79.61032,0,0,0,0,0,18.12455,0.49716,0,0.14339,0.14399,0.04782,0.17237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71-tB",2.1386,0,0,49.11596,0,0,0,0,0,42.83215,3.50932,0,0.5375,0.78493,0.14188,0.93965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71-tP",1.44195,0,0,72.55343,0.15067,0,0,0,0,24.18455,0.71013,0,0.39872,0.07616,0.21524,0.2125,0,0,0.05665,0,0,0,0,0,0,0,0,0,0,0,0,0
"76-rP",0,0,0,46.74088,0,0,0,0,0,45.03878,3.53462,0,0.10547,1.17631,0,0.0454,2.1842,0,0.41439,0,0,0,0,0.02725,0,0,0,0,0,0,0.7327,0
"76-tB",0,0,0,52.31991,0,0,0,0,0,33.6103,3.47537,0,0.16557,1.81355,0,0.0359,4.17679,0,0.28509,0,0,0,0,0,0,0,0,0,0,0,4.11751,0
"76-tP",0,0,0,44.33467,0,0,0,0,0,39.0813,5.28776,0,0.15075,1.63801,0,0.09643,3.44113,0,0.32729,0,0,0,0,0,0,0,0,0,0,0,5.64265,0
"77-rB",0.59349,0,0,70.86542,2.4551,0,0,0,0,21.08272,0,0,0,0.67794,0.17443,0.53969,0,0,0.17805,0,0,0,0,0,0,0,0,0,0,3.43317,0,0
"77-rP",0.56359,0,0,76.3445,0.00829,0,0,0,0,18.8868,0,0,0,0.34095,0,0.20722,0,0,0.11499,0,0,0,0,0,0,0,0,0,0,3.53367,0,0
"77-tB",0.12606,0,0,61.36457,1.2308,0,2.02918,0,0,30.46477,1.14613,0,0,0.12662,0.29178,0.04177,0.07675,0,0.71947,0,0,0,0,0,1.63563,0,0,0,0,0.74647,0,0
"77-tP",0.21799,0,0,87.61242,0.18289,0,0,0,0,9.45152,0,0,0,0.16871,0.0404,0.19655,0,0,0.14437,0,0,0,0,0,0,0,0,0,0,1.98515,0,0
"79-rB",0,0,0,80.41758,1.46561,0,0.59126,0,0,13.40356,1.23877,0,0.00155,0.03031,0,0.06425,0,0,1.85893,0,0,0,0.01626,0,0.09586,0,0,0,0,0.58866,0.2274,0
"79-rP",0,0,0,63.21957,2.81084,0,1.4088,0,0,23.61964,2.02221,0,0.03121,0.16711,0.02731,0.09413,0.31789,0,2.24355,0,0,0,0,0,0.25049,0,0,0,0,1.1298,2.65744,0
"79-tB",0,0,0,56.88446,2.51522,0,1.65586,0,0,27.91822,1.44563,0,0.04216,0.10778,0,0.06958,0.20539,0,1.79163,0,0,0,0,0,0.25589,0,0,0,0,1.42452,5.68366,0
"79-tP",0,0,0,70.67164,3.55863,0,0.88218,0,0,20.97639,0.87305,0,0.01682,0.02689,0,0,0.05623,0,0.73744,0,0,0,0,0,0.14185,0,0,0,0,0.76486,1.29402,0
"81-rB",0,0,0,50.38149,0,0,3.57855,0,0,45.08335,0,0,0.21496,0.59529,0,0.03931,0,0,0,0,0,0,0,0,0.10704,0,0,0,0,0,0,0
"81-rP",0,0,0,43.82478,0,0,3.00684,0,0,52.47855,0,0,0.10367,0.3803,0,0.05924,0,0,0.02648,0,0,0,0,0,0.12012,0,0,0,0,0,0,0
