"","term","estimate","std.error","statistic","p.value","padj"
"470","PWY.5695..inosine.5.phosphate.degradation.1534.9401999714.PWY.5695..inosine.5.phosphate.degradation",0.0865921156918566,7.54807815452453,0.0114720746021888,0.990846809567912,1
"471","PWY.6124..inosine.5.phosphate.biosynthesis.II.1502.7949441563.PWY.6124..inosine.5.phosphate.biosynthesis.II",0.0460635296937304,4.01527459426983,0.0114720746021872,0.990846809567914,1
"472","PWY.6123..inosine.5.phosphate.biosynthesis.I.1755.5667140264.PWY.6123..inosine.5.phosphate.biosynthesis.I",0.0478760482202252,4.17326855694426,0.0114720746021869,0.990846809567914,1
"473","PWY.6123..inosine.5.phosphate.biosynthesis.I.1852.7584694327.PWY.6123..inosine.5.phosphate.biosynthesis.I",0.0308089350219246,2.68555915911256,0.0114720746021865,0.990846809567914,1
"474","PWY.6124..inosine.5.phosphate.biosynthesis.II.1224.3352043716.PWY.6124..inosine.5.phosphate.biosynthesis.II",0.0824055375575687,7.18314170846345,0.0114720746021863,0.990846809567914,1
"475","PWY.5695..inosine.5.phosphate.degradation.1797.7202522249.PWY.5695..inosine.5.phosphate.degradation",0.0919822240981775,8.01792415825599,0.0114720746021854,0.990846809567915,1
"476","PWY.6123..inosine.5.phosphate.biosynthesis.I.1716.7326716080.PWY.6123..inosine.5.phosphate.biosynthesis.I",0.0824622670201598,7.18808671314397,0.0114720746021846,0.990846809567916,1
"477","PWY.6123..inosine.5.phosphate.biosynthesis.I.1464.4205926441.PWY.6123..inosine.5.phosphate.biosynthesis.I",0.075121091427518,6.54816971057818,0.0114720746021845,0.990846809567916,1
"478","PWY.8131..5.deoxyadenosine.degradation.II.59.4996806550.PWY.8131..5.deoxyadenosine.degradation.II",0.537708557436057,46.8710827014393,0.0114720746021842,0.990846809567916,1
"479","PWY.5695..inosine.5.phosphate.degradation.2531.7800160908.PWY.5695..inosine.5.phosphate.degradation",0.0498077346696656,4.34165017199108,0.0114720746021838,0.990846809567916,1
"480","PWY.8131..5.deoxyadenosine.degradation.II.104.6740960462.PWY.8131..5.deoxyadenosine.degradation.II",0.75303017678353,65.64027892917,0.0114720746021829,0.990846809567917,1
"481","PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I.644.4829450621.PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I",0.0722477587712612,6.29770649830987,0.0114720746021826,0.990846809567917,1
"482","PWY.8131..5.deoxyadenosine.degradation.II.21.8273653293.PWY.8131..5.deoxyadenosine.degradation.II",0.836101925356592,72.8814930472608,0.0114720746021821,0.990846809567918,1
"483","PWY.5695..inosine.5.phosphate.degradation.1592.9223374742.PWY.5695..inosine.5.phosphate.degradation",0.0613925628636213,5.35147869871293,0.0114720746021818,0.990846809567918,1
"484","PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage.790.6272807596.PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage",0.0593042637829404,5.16944544377938,0.0114720746021808,0.990846809567919,1
"485","PWY.6123..inosine.5.phosphate.biosynthesis.I.1450.3767798758.PWY.6123..inosine.5.phosphate.biosynthesis.I",0.101695495112293,8.86461242964412,0.0114720746021804,0.990846809567919,1
"486","PWY.6123..inosine.5.phosphate.biosynthesis.I.2519.7416220040.PWY.6123..inosine.5.phosphate.biosynthesis.I",0.0400035310921971,3.48703547347876,0.0114720746021802,0.990846809567919,1
"487","PWY.7234..inosine.5.phosphate.biosynthesis.III.70.9513095681.PWY.7234..inosine.5.phosphate.biosynthesis.III",1.38293046115531,120.54754777245,0.0114720746021792,0.99084680956792,1
"488","PWY.5695..inosine.5.phosphate.degradation.1980.9266437104.PWY.5695..inosine.5.phosphate.degradation",0.0579317523699302,5.04980610559547,0.011472074602179,0.99084680956792,1
"489","PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage.430.8631898177.PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage",0.397029538538168,34.608346990944,0.0114720746021779,0.990846809567921,1
"490","PWY.6123..inosine.5.phosphate.biosynthesis.I.729.9670431228.PWY.6123..inosine.5.phosphate.biosynthesis.I",0.122491511307315,10.6773635593395,0.0114720746021775,0.990846809567921,1
