Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
"19(1,C3)",76-2,16.5,6,202,9119,7,115.5,7,73,4929.5,332,5,21106.5,3212,,
"20(1,D3)",76-2,16.5,7,178,8990.5,9,36.5,7,29,4287.5,185,8,22211.5,5653,,
"21(1,E3)",76-3,21.5,16,282,10457,9,252.5,7,85,4482.5,319,7,22555.5,3381,,
"22(1,F3)",76-3,18.5,15,286,10621.5,6,261,5,91,4560.5,325,6,22358.5,3098,,
"23(1,G3)",76-4,14.5,6,196,10803.5,6,74.5,5,68,4148.5,314,4,21973.5,2838,,
"24(1,H3)",76-4,14.5,5,197,10747,6,71.5,7,79,4725.5,323,5,22797.5,3027,,
"25(1,A4)",77-1,19.5,14,183,10684.5,9,343,8,108,4277.5,592.5,7,20932,4575,,
"26(1,B4)",77-1,17.5,12,189,11004,8,494.5,5,103,4680.5,664,6,21653.5,3277,,
"27(1,C4)",77-2,17,8,202,12275.5,5,144.5,4,74,7292,978,4,27738.5,2722,,
"28(1,D4)",77-2,16.5,9,150,10998,11,20.5,8,51,6661.5,263,7,23658,5246,,
"29(1,E4)",77-3,16.5,11,200,10806.5,7,153.5,5,99,5062.5,624,6,22340,3116,,
"30(1,F4)",77-3,16.5,7.5,201,10415,7,135.5,6,102,4668.5,587.5,4,21545.5,3356,,
"31(1,G4)",77-4,16.5,8,175,10231.5,7,128,4,83,5087.5,529,5,21126.5,3523,,
"32(1,H4)",77-4,14.5,6,181,10449.5,6,131.5,4,98,5505.5,530,2,21294,2540,,
"33(1,A5)",79-1,12.5,8,292,9740.5,5,86.5,4,105,5900.5,754.5,3,20864.5,3423,,
"34(1,B5)",79-1,13.5,7,285.5,9824,5,101.5,4,91,5891.5,741,4,21196.5,3579,,
"35(1,C5)",79-2,12.5,7,246,9277.5,5,57.5,5,97,5417,626,2,20490.5,3143,,
"36(1,D5)",79-2,12.5,7,176,9132,7,16.5,6,68,5149.5,329,6,18714.5,5347,,
"37(1,E5)",79-3,13.5,7,124,10196.5,8,39.5,7,93,6504,555,6,20287.5,3244,,
"38(1,F5)",79-3,12.5,6,133,10060.5,4.5,48.5,4.5,99,6283.5,615,2,20224.5,2900,,
"39(1,G5)",79-4,13.5,7,210,9349.5,6,95,5,100,5250.5,607,4,19047.5,3222,,
"40(1,H5)",79-4,11.5,6,230,9424.5,4,97.5,3,106.5,5346,623,2,19070.5,2820,,
"41(1,A6)",81-1,11.5,6,192.5,10813.5,5,53.5,5,145,4652.5,620.5,3,22849,3380,,
"42(1,B6)",81-1,9.5,4,191,10662,4,57.5,2,134.5,4994.5,660,2,22980.5,1621,,
"43(1,C6)",81-2,-0.5,1.5,96.5,5849.5,10,NaN,20,55,4452.5,484,NaN,14707.5,25,,
"44(1,D6)",81-2,9.5,5,91,10816.5,6,12,5,42,4945,296.5,5,23170.5,2895,,
"45(1,E6)",81-3,7.5,3,136,11103.5,2,69.5,4,71,5663,649,3,23388,447,,
"46(1,F6)",81-3,11.5,7,125.5,10998.5,7,46.5,4,61,5881.5,563,5,23975,3557,,
"47(1,G6)",81-4,13.5,7,149,9467.5,7,41.5,7,80,5725.5,568.5,5,24075.5,3838,,
"48(1,H6)",81-4,10.5,5,144,9303.5,4,43.5,5,75.5,4722.5,539,3,22573.5,2277,,
